prdtypecode;definition
10;livres
40;jeux video pour pc et consoles
50; accesoires jeux video
60;consoles de jeux video
1140;produits derives “geeks” et figurines
1160;cartes collectionables
1180;figurines collectionables pour jeux de societe
1280;jouets, peluches, poupees
1281;jeux de societe/cartes
1300;Petites voitures (jouets) et maquettes
1301;accesoires pour petis enfants/bebes et mobilier de jeu (flechettes, billard, babyfoot)
1302;jeux d'exterieur
1320;sacs pour femmes et accesore petite enfance
1560;Mobilier et produits decoration/rangement pour la maison
1920;linge de maison (cousins, rideaux, serviettes, nappes, draps)
1940;nouriture (cafes,infusions,conserves, epices,etc)
2060;lampes et accesoires decoration pour maison
2220;accesoires mascots/pets
2280;magazines
2403;livres et bds
2462;consoles de jeux video et jeux videos
2522;produits de papeterie et rangement bureau
2582;mobilier d'exterieur et accesoires (parasols,pots,tentes,etc)
2583;accesoires de piscine
2585;outillage et accesoires pour jardinage
2705;bds et livres
2905;Jeu En téléchargement